# The P01-P22 acceptance register.
#
# docs/testing-strategy.md §4: the twenty-two proof tests "are the acceptance
# criteria for the whole architecture ... A release that cannot show all
# twenty-two green, each with its mutant set demonstrably caught and its
# positive control demonstrably green, has not been shown to be TwinVPN." And:
# "The count is load-bearing." This file is that count, enumerated.
#
# THIS FILE IS NOT EVIDENCE. build/proof/status.sh runs what it names and
# reports what happened; build/proof/run-mutants.sh decides PT-1. The word PASS
# appears nowhere here on purpose: PT-1 defines PASS as "the clean build passes
# AND every mutant in its set fails, each with the expected oracle", and no row
# below currently satisfies the second half.
#
# STATUS is one of:
#   IMPLEMENTED   the full oracle runs AND the full specified mutant set exists.
#                 No row is IMPLEMENTED today. status.sh enforces both halves,
#                 so a row cannot claim it without the patches being on disk.
#   PARTIAL       some clause of the oracle is asserted by a runnable test in
#                 this repository, and some clause is not. The EVIDENCE column
#                 names the runnable part; the NEEDS column names what the rest
#                 is waiting on.
#   NOT-RUNNABLE  no clause of the oracle is asserted anywhere. EVIDENCE is `-`.
#
# EVIDENCE is `workspace::command`, semicolon-separated for several. It is the
# subset that runs on an ordinary Linux runner with no lab, so it is what a T3
# job can execute today. It is deliberately NARROWER than the proof test: a
# green run of the evidence column is NOT a green proof test, and every row's
# NEEDS column says what the difference is.
#
# MUT_IMPL/MUT_SPEC counts the mutants in build/mutants/ against the number the
# specification names. M-P20-3 is declared in §4.3 as the same mutant as
# M-P09-3, so the union across the register is 143 distinct patches, not 144.
#
# build/proof/obligations.tsv names all 144 of them, one row each, with the
# mutation, the expected oracle, the test that owns it and what each missing one
# is waiting on. This file counts; that file enumerates.
#
# P07 IS THE ROW TO READ CAREFULLY. Its mutant set is now complete - 5 of 5, all
# five demonstrably caught - and it is still PARTIAL, because PT-1 needs BOTH
# halves and ADR-0012 §11.9's oracle also wants `ruleset_digest` (unimplemented)
# and a wire capture on every non-overlay interface. A complete mutant set is
# not a discharged proof test, and reading it as one is the precise mistake
# release blocker B-1 exists to catch.
#
# Columns, tab-separated:
#   ID  STATUS  ORACLE  MUT_IMPL  MUT_SPEC  SCENARIOS  EVIDENCE  NEEDS
#
P01	PARTIAL	ADR-0004 §11.6	3	4	S-NAT-ROUTED-ROUTED-V4-01, S-NAT-ROUTED-ROUTED-V6-02, S-NAT-ROUTED-ROUTED-DUAL-03	core::cargo test -q -p twinvpn-path --test ladder	two device and two middlebox namespaces with per-personality mapping-lifetime timers; capture on every interface; relay per-flow data-frame counters; a real agent emitting the transition stream. M-P01-4's 120s keepalive re-drive against a 30s-lifetime mapping has no assertion at all.
P02	PARTIAL	ADR-0006 §11.16	0	5	S-NAT-RAND-RAND-V4-97, S-NAT-APDF-CGNAT-V4-82, S-RELAY-FAILOVER-V4-01	core::cargo test -q -p twinvpn-relay-client --test device_leg	symmetric-NAT-both-ends namespaces; real relay processes with warm sessions; a control-plane blackhole applied to a live agent. The `RelaySelected{top_k[]}` event does not exist in the codebase, so a third of ADR-0006's own oracle is unassertable and M-P02-5 cannot be written.
P03	PARTIAL	ADR-0006 §11.16	0	5	S-RELAY-FAILOVER-V4-01, S-RELAY-FAILOVER-V6-02, S-RELAY-FAILOVER-DUAL-03	tests::cargo test -q -p twinvpn-system-tests --test chaos_outage_and_failover	four distinct relay-process failure modes against real relay processes; in-flight inner-TCP survival across the cutover; dual packet captures; seeded region-spread. RELAY.FAILOVER.COMPLETED is registered and asserted by nothing. M-P03-4 (grey stall) and M-P03-5 have no catching test.
P04	PARTIAL	docs/reliability.md §4.5 T20	1	5	-	core::cargo test -q -p twinvpn-session --test no_silent_failure	a real supervised agent to SIGKILL and restart; namespace reboot; on-disk Endpoint cache across a reboot; wire corroboration of zero egress under FAIL_CLOSED. The four-variant `caused_by` DISCRIMINATION - the defect M-P04-5 exists to catch - is not asserted.
P05	PARTIAL	ADR-0006 §11.10 + §11.17	0	5	S-NET-ROAM-V4-01, S-NET-ROAM-V6-02, S-NET-ROAM-DUAL-03	core::cargo test -q -p twinvpn-session --test scenarios	a veth leg moved between access bridges with re-addressing; an inner TCP stream with per-packet markers driven across the cutover; NAT mapping-expiry injection; a real agent event stream. The cross-family v4-only to v6-only roam (V5) and the measured T_MIGRATE_QUEUE loss bound are not asserted.
P06	PARTIAL	ADR-0013 §11.16	0	9	-	core::cargo test -q -p twinvpn-gateway --test multi_client	16 and 64 real paired devices on one gateway; a full twin0 capture; uplink saturation with a noisy neighbour; conntrack pressure. The DESIGNATED fairness oracle gw_peer_floor_share_bps / gw_peer_achieved_bps does not exist in the codebase, nor does any gw_* metric, and there is no forwarding data plane - so M-P06-2, -5, -6, -8 and -9 have nothing to assert against.
P07	PARTIAL	ADR-0012 §11.9	5	5	S-KS-FAIL-CLOSED-V4-01, S-KS-FAIL-CLOSED-V6-02, S-KS-FAIL-CLOSED-DUAL-03	core::cargo test -q -p twinvpn-enforce --test fail_closed ; tests::cargo test -q -p twinvpn-system-tests --test e2e_fail_closed_leak ; core::cargo test -q -p twinvpn-route --test both_families	RA injection into a live namespace against a live agent; a new bridge attached mid-session; an off-tunnel IPv6 destination; capture on every non-overlay interface; a mode=OFF positive-control run on the same seed. `ruleset_digest` is not implemented, so the digest-stability clause - the one that catches a structural falsehood with no packet leaked - is unassertable.
P08	PARTIAL	ADR-0011 §11.12	0	4	-	core::cargo test -q -p twinvpn-dns --test policy_and_scope	a host resolver actually pointed at the stub; a reachable off-tunnel resolver; capture on 53/853 and the DoH list in both families; a captive portal with a real exemption window; Android and Windows hosts for the platform bypass channels. The positive canary that makes an inert-resolver pass impossible (V3) is not implemented.
P09	PARTIAL	ADR-0012 §11.9 + §11.6	0	3	S-KS-FAIL-CLOSED-V4-01, S-KS-FAIL-CLOSED-V6-02, S-KS-FAIL-CLOSED-DUAL-03	core::cargo test -q -p twinvpn-platform --test seam	a real agent to SIGKILL and hold down 60s; a real installer with an interrupted-mid-write variant; reboot with the generator ordered before the agent; 1ms rule-set sampling; Windows, macOS, OpenWrt and Android hosts; an iOS device farm with a lab AP for the companion-host capture. Only procedure C's atomic-swap oracle is genuinely asserted; A, B and D reduce to declared-custody facts.
P10	PARTIAL	ADR-0007 §7.7	0	7	-	tests::cargo test -q -p twinvpn-system-tests --test integration_revocation_at_the_peer	three paired devices with an established connection before revocation; a partitionable control plane; a peer-to-peer propagation path with A cut off but reachable by B; a virtual clock past 30 days; handshake wire capture. M-P10-4, -5, -6 and -7 have no catching test.
P11	PARTIAL	ADR-0014 §7.1 (T1-T5) + §7.2	0	5	-	core::cargo test -q -p twinvpn-crypto --test noise_handshake	an on-path rewriter in a transit namespace between two real agents; wire confirmation that each mutation reached the peer before the assertion is evaluated (V3); both directions, both families, 20 runs. M-P11-1 - "the single most important mutant in P11" - is asserted only structurally: no test rewrites both maxima and shows the handshake fail. PROTO.NEGOTIATION_TAMPERED is registered and asserted by nothing.
P12	PARTIAL	testing-strategy §4 (ADR-0014 N-30/N-31)	0	5	-	tests::cargo test -q -p twinvpn-system-tests --test e2e_scenario_matrix	real binaries at two versions; a real updater and installer for variant (d); fd/RSS/conntrack sampling in a namespace across 100 attempts; a virtual clock for the 6h retry floor. There is no updater crate in the workspace.
P13	PARTIAL	ADR-0003 §11.7	0	5	-	tests::cargo test -q -p twinvpn-system-tests --test fuzz_wire_decoders ; tests::cargo test -q -p twinvpn-system-tests --test fuzz_statement_decoders ; tests::cargo test -q -p twinvpn-system-tests --test fuzz_persistence_decoders ; tests::cargo test -q -p twinvpn-system-tests --test fuzz_handshake_and_platform_decoders	ASan/UBSan/MSan builds; a continuous fuzz fleet with the §2.0 8 CPU-h budget; allocator instrumentation for the length-proportionality clause; live-component replay. Roughly 7 of the closed 12-entry parser inventory have coverage; families 2, 9, 10, 11 and 12 have no target.
P14	PARTIAL	ADR-0005 §7.1	0	4	-	services::cargo test -q -p twinvpn-relay --test cannot_decrypt ; services::cargo test -q -p twinvpn-relay --test privacy_and_persistence	root in a relay namespace with full core dumps; a memory scanner over the relay address space; a modified hoarding relay binary; two colluding relay instances; a marked high-entropy corpus. The three-element key inventory is asserted structurally; the executed enumeration over dumped key material, and every variant, is not.
P15	PARTIAL	ADR-0002 §11.8	1	8	S-CP-OUTAGE-V4-01, S-CP-OUTAGE-V6-02, S-CP-OUTAGE-DUAL-03	core::cargo run -q -p xtask -- lint ; tests::cargo test -q -p twinvpn-system-tests --test chaos_outage_and_failover	a real blackholed cp/rz/presence/rs deployment; a virtual clock over 4h and past 24h; a 16-peer gateway rig; instrumented zero-outbound-call counters. ADR-0002 states the static check COMPLEMENTS and does not replace the blackhole test, so I5 stays undischarged with only the T1 half green (blocker B-19's own wording).
P16	PARTIAL	ADR-0016 §11.13	0	6	-	shells/linux::cargo test -q -p twinvpnd --test lifecycle	a second unprivileged OS principal and user logout; root-capable namespaces for tun/nftables/WFP writes; ptrace and LD_PRELOAD injection targets; a real supervisor with burst limits; a real installer and uninstaller; a reboot-capable VM; a monolithic positive-control build. Procedures B, C and D are not asserted at all.
P17	PARTIAL	ADR-0017 §11.17	2	19	-	shells/linux::cargo test -q -p twinvpnd --test mi_roundtrip ; shells/linux::cargo test -q -p twinvpnctl	built GUI surfaces on six platforms and their rendered accessibility trees; a marked traffic generator with wire capture; direct OS firewall readback for ruleset_digest; real host suspend and resume; a running agent to SIGSTOP; the N-2/N+1 skew matrix against real agents. The CLI_ops = catalogue_ops half is fully asserted; the GUI_ops half has no harness.
P18	PARTIAL	ADR-0019 §11.13	5	10	-	core::cargo test -q -p twinvpn-diag	built GUI surfaces for six targets, a pseudo-locale catalogue, and an image-diff/greyscale renderer. Per ADR-0019 this test needs NO DEVICE FARM once the surfaces exist - platform_ctx is a parameter - so it is the cheapest of the not-yet-runnable set. Only one locale ships (en.json), so the "every shipped locale" cross-product is currently degenerate. Oracles 3, 5, 6, 7 and 8 are not asserted. Oracles 1, 2 and 4 now ARE, in the core-side half: M-P18-1, -3 and -7 are caught. Read oracle 1's row carefully - it was the PRODUCT that was wrong, not the test: render returned no part 3 for 219 registered non-actionable codes, which oracle 1 forbids in terms, so the fix was nine remediation-class sentences and not a weaker mutant. The GUI half of all three - three parts on a rendered accessibility tree - still has no harness.
P19	PARTIAL	ADR-0020 §15 / §11.17	5	6	-	core::cargo test -q -p twinvpn-store --test ladder	three real devices in a TwinNet with wire capture; a physical TPM 2.0 for variant 3's normal form and a SNAPSHOTTED vTPM for its inverted form. Five of six mutants are now caught: M-P19-3 through the ST-23 crash-injection point §11.17 names as a P19 observable, and M-P19-4 through a whole-store_root restore as §15 steps 1 and 3 specify. M-P19-6 remains MISSING and is not this crate's to write - oracle (e) is about a Session surviving store-open failure, and ST-35 records that twinvpn-store "holds no session and no rule set, so the first two are true by construction"; the crate that wires an open failure to session lifecycle is the composition root. Oracle (e) session survival, oracle (f) ruleset_digest and all of variant 3 remain unasserted.
